ticker_symbol,date,flag
AAPL,2015-01-01,-4
AAPL,2015-01-02,-1
AAPL,2015-01-03,1
AAPL,2015-01-04,-2
AAPL,2015-01-05,1
AAPL,2015-01-06,11
AAPL,2015-01-07,-3
AAPL,2015-01-08,6
AAPL,2015-01-09,12
AAPL,2015-01-10,-1
AAPL,2015-01-11,0
AAPL,2015-01-12,1
AAPL,2015-01-13,-2
AAPL,2015-01-14,0
AAPL,2015-01-15,-5
AAPL,2015-01-16,-2
AAPL,2015-01-17,4
AAPL,2015-01-18,1
AAPL,2015-01-19,2
AAPL,2015-01-20,2
AAPL,2015-01-21,0
AAPL,2015-01-22,-4
AAPL,2015-01-23,3
AAPL,2015-01-24,1
AAPL,2015-01-25,2
AAPL,2015-01-26,11
AAPL,2015-01-27,22
AAPL,2015-01-28,22
AAPL,2015-01-29,13
AAPL,2015-01-30,8
AAPL,2015-01-31,0
AAPL,2015-02-01,4
AAPL,2015-02-02,0
AAPL,2015-02-03,2
AAPL,2015-02-04,3
AAPL,2015-02-05,12
AAPL,2015-02-06,-3
AAPL,2015-02-07,-1
AAPL,2015-02-08,0
AAPL,2015-02-09,7
AAPL,2015-02-10,8
AAPL,2015-02-11,-3
AAPL,2015-02-12,16
AAPL,2015-02-13,-1
AAPL,2015-02-14,4
AAPL,2015-02-16,5
AAPL,2015-02-17,-14
AAPL,2015-02-18,2
AAPL,2015-02-19,4
AAPL,2015-02-20,10
AAPL,2015-02-21,-5
AAPL,2015-02-22,-3
AAPL,2015-02-23,13
AAPL,2015-02-24,3
AAPL,2015-02-25,-2
AAPL,2015-02-26,2
AAPL,2015-02-27,0
AAPL,2015-02-28,1
AAPL,2015-03-01,2
AAPL,2015-03-02,0
AAPL,2015-03-03,-1
AAPL,2015-03-04,-3
AAPL,2015-03-05,-4
AAPL,2015-03-06,-10
AAPL,2015-03-07,-2
AAPL,2015-03-08,1
AAPL,2015-03-09,4
AAPL,2015-03-10,-13
AAPL,2015-03-11,8
AAPL,2015-03-12,9
AAPL,2015-03-13,1
AAPL,2015-03-14,0
AAPL,2015-03-15,-1
AAPL,2015-03-16,-4
AAPL,2015-03-17,11
AAPL,2015-03-18,1
AAPL,2015-03-19,-1
AAPL,2015-03-20,-8
AAPL,2015-03-21,-2
AAPL,2015-03-22,3
AAPL,2015-03-23,5
AAPL,2015-03-24,-1
AAPL,2015-03-26,-3
AAPL,2015-03-27,6
AAPL,2015-03-28,1
AAPL,2015-03-29,3
AAPL,2015-03-30,7
AAPL,2015-03-31,-7
AAPL,2015-04-01,-1
AAPL,2015-04-02,-2
AAPL,2015-04-03,2
AAPL,2015-04-04,1
AAPL,2015-04-05,4
AAPL,2015-04-06,-5
AAPL,2015-04-07,0
AAPL,2015-04-08,-2
AAPL,2015-04-09,3
AAPL,2015-04-10,4
AAPL,2015-04-11,-5
AAPL,2015-04-12,-1
